place,address,pos,open_time
죽도 시장,경상북도 포항시 북구 죽도동 죽도시장7길 4-3,"[36.0361021, 129.3662547]","월요일
오전 8:00~오후 10:00
화요일
오전 8:00~오후 10:00
수요일
오전 8:00~오후 10:00
목요일
오전 8:00~오후 10:00
금요일
오전 8:00~오후 10:00
토요일
오전 8:00~오후 10:00
일요일
오전 8:00~오후 10:00"
휘닉스 스노우 파크,휘닉스 스노우 파크,"[37.625983, 128.2364949]",
바람의언덕,경상남도 거제시 남부면,"[34.7446779, 128.6609489]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
KTX,광주광역시 북구 중흥동 611,"[35.1677377, 126.9043915]",
뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260,"[37.4188889, 127.8208616]","월요일
휴무일
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
동백섬,부산광역시 우동,"[35.1545294, 129.1349992]",
정동진,강원도 강릉시 강동면 정동진리,"[37.7257452, 128.991238]",
평창송어축제,강원도 평창군 진부면 경강로 3562,"[37.6328669, 128.5546566]",
광안대교,부산광역시 민락동,"[35.1476738, 129.1278431]",
서울메트로,서울특별시 관악구 남현동 602-14,"[37.4741042, 126.9787953]",
제주 돌문화 공원,제주특별자치도 제주시 조천읍 남조로 2023,"[33.4485653, 126.6564642]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
독립기념관,충청남도 천안시 동남구 목천읍 KR 독립기념관로1,"[36.7834151, 127.2209875]",
서울대공원,경기도 과천시 막계동 대공원광장로 102,"[37.4275247, 127.0148312]",
